,playerName2,predicted_pointsBasedOnAverage,playerName,playerTeam,predicted_pointsBasedOnLastWeek
280,"Luna, Daniel",0.0,,,
281,Lunin,3.0,,,
282,"Machis, D",2.0,,,
283,Maffeo,3.0,,,
284,"Maksimovic, Nemanja",5.0,,,
285,Mamardashvili,5.0,,,
286,"Mandi, Aissa",2.0,,,
287,Manquillo,4.0,,,
288,"Maouassa, Faitout",2.0,,,
289,Marc,2.0,,,
290,Marcao,2.0,Adria,Granada,0.0
291,Marcelino,0.0,,,
292,"Marcos, De",4.0,,,
293,"Marcos, Llorente",4.0,,,
294,"Mari, Alberto",1.0,,,
295,Mariano,2.0,,,
296,"Marin, Pablo",0.0,,,
297,"Marin, Rafa",3.0,,,
298,"Marino, D",1.0,,,
299,"Marmol, Mika",5.0,"Medina, Alexander",Granada,0.0
300,Marrero,1.0,,,
301,Martin,0.0,,,
302,"Martin, Ivan",4.0,,,
303,"Martin, Jordi",3.0,,,
304,"Martinez, Marc",0.0,,,
305,Marvin,3.0,,,
306,Mascarell,2.0,,,
307,Mata,2.0,,,
308,Maximiano,5.0,,,
309,"Mayoral, Borja",4.0,"Batalla, Augusto",Granada,4.0
310,"Mbaye, Mamadou",2.0,,,
311,"Medina, Alexander",0.0,,,
312,"Mejbri, Hannibal",0.0,,,
313,Melendo,2.0,,,
314,"Melero, Gonzalo",2.0,,,
315,"Mendez, Brais",5.0,"Maouassa, Faitout",Granada,3.0
316,"Mendez, Bruno",5.0,,,
317,"Mendez, Diego",0.0,,,
318,Mendy,4.0,"Martinez, Marc",Granada,0.0
319,Mere,2.0,,,
320,"Merino, Mikel",5.0,"Jozwiak, Kamil",Granada,1.0
321,Mfulu,1.0,,,
322,Michel,0.0,"Corbeanu, Theo",Granada,0.0
323,Miguel,1.0,,,
324,Militao,3.0,,,
325,"Milla, L",5.0,,,
326,"Milovanovic, Marko",2.0,,,
327,Mingueza,4.0,,,
328,"Miquel, I",4.0,,,
329,"Miquel-bosch, Adria",0.0,,,
330,"Mir, Rafa",2.0,,,
331,Miranda,3.0,,,
332,Modric,3.0,,,
333,"Mojica, J",3.0,,,
334,"Moldovan, Horatiu",0.0,,,
335,"Moleiro, A",3.0,,,
336,"Molina, Nahuel",3.0,,,
337,"Moncayola, Jon",2.0,,,
338,"Montes, Cesar",3.0,,,
339,Morales,2.0,,,
340,Morata,4.0,,,
341,"Moreno, Alberto",2.0,,,
342,Morlanes,2.0,,,
343,"Mosquera, Cristhian",5.0,,,
344,"Mosquera, Yerson",3.0,,,
345,"Mumin, Abdul",2.0,,,
346,Muniain,2.0,,,
347,"Munoz, Iker",2.0,"Neva, C",Granada,0.0
348,"Munoz, Javi",4.0,,,
349,"Muriqi, Vedat",3.0,,,
350,Nacho,3.0,,,
351,"Nastasic, Matija",4.0,,,
352,"Navarro, R",3.0,,,
353,"Navas, Jesus",4.0,,,
354,"Nesyri, En",4.0,,,
355,"Neva, C",4.0,,,
356,Nianzou,2.0,,,
357,"Nteka, R",2.0,,,
358,"Nunez, Unai",5.0,,,
359,"Nyland, Orjan",5.0,,,
360,O,4.0,,,
361,Oblak,5.0,,,
362,"Ocampo, Brian",2.0,,,
363,Ocampos,4.0,,,
364,Odriozola,1.0,,,
365,"Oroz, Aimar",4.0,,,
366,Oscar,3.0,,,
367,"Ousou, Aiham",0.0,,,
368,"Owono, Jesus",0.0,,,
369,"Oyarzabal, Mikel",3.0,,,
370,"Ozkacar, Cenk",2.0,,,
371,P224919,4.0,"Puertas, Antonio",Granada,0.0
372,P235227,5.0,,,
373,P472145,3.0,,,
374,"Pacheco, Jon",2.0,,,
375,Paredes,5.0,,,
376,"Parejo, Dani",4.0,,,
377,"Paul, De",4.0,,,
378,"Paulista, Gabriel",4.0,,,
379,"Paz, Nico",0.0,,,
380,"Pedraza, Alfonso",3.0,,,
381,Pedri,4.0,,,
382,Pedrosa,3.0,,,
383,Pejino,2.0,,,
384,"Pellegrini, Manuel",0.0,,,
385,Pellegrino,0.0,,,
386,Pellistri,4.0,,,
387,"Pena, Inaki",2.0,,,
388,"Pena, Ruben",4.0,,,
389,Pepelu,5.0,,,
390,"Perez, Ayoze",5.0,,,
391,"Perez, Carles",2.0,,,
392,"Perez, K",2.0,,,
393,"Perrone, Maximo",3.0,,,
394,Peter,2.0,,,
395,Pezzella,5.0,,,
396,"Piatkowski, Kamil",2.0,,,
397,"Pimienta, Garcia",0.0,,,
398,"Pineiro, Diego",0.0,,,
399,"Pires, Lucas",3.0,,,
400,Portu,2.0,,,
401,Pozo,2.0,,,
402,"Pozo, Jose",0.0,,,
403,"Prados, Benat",2.0,,,
404,"Pubill, Marc",4.0,,,
405,"Puertas, Antonio",2.0,,,
406,"Quintanilla, Ruben",0.0,,,
407,"R, Aitor",3.0,,,
408,"Radonjic, Nemanja",1.0,,,
409,"Radovanovic, Aleksandar",3.0,,,
410,"Raillo, A",4.0,,,
411,"Rajkovic, Predrag",5.0,,,
412,"Ramazani, L",3.0,Catena,Osasuna,1.0
413,"Ramirez, B",1.0,,,
414,"Ramos, Chris",4.0,,,
415,"Ramos, Sergio",5.0,,,
416,Raphinha,3.0,,,
417,Raul,2.0,,,
418,"Rebbach, Abderrahman",2.0,,,
419,"Reina, Jose",0.0,,,
420,Reinildo,2.0,,,
421,Remiro,6.0,,,
422,Ricard,4.0,,,
423,"Rico, Diego",4.0,,,
424,"Rioja, L",5.0,,,
425,"Riquelme, R",2.0,,,
426,"Ristic, Mihailo",3.0,,,
427,"Rivero, C",0.0,,,
428,"Rl, Juanpe",2.0,,,
429,"Roberto, Sergi",2.0,,,
430,Robertone,4.0,,,
431,"Roca, Marc",4.0,,,
432,Rodri,2.0,,,
433,"Rodriguez, Dani",5.0,,,
434,"Rodriguez, F",0.0,,,
435,"Rodriguez, Guido",5.0,,,
436,Rodrygo,4.0,,,
437,Roger,4.0,Areso,Osasuna,5.0
438,"Romero, Isaac",5.0,,,
439,"Romeu, Oriol",2.0,,,
440,"Roque, Vitor",2.0,,,
441,"Rubio, Miguel",2.0,,,
442,"Rudiger, Antonio",5.0,,,
443,"Ruiz, Sergio",3.0,,,
444,"S, Fede",2.0,,,
445,"Sabaly, Youssouf",3.0,,,
446,Sadiq,2.0,,,
447,"Salas, Kike",2.0,,,
448,"Samassekou, Diadie",2.0,,,
449,Samu,4.0,,,
450,Sanchez,3.0,,,
451,"Sanchez, Manu",3.0,,,
452,"Sanchez-flores, Quique",0.0,,,
453,Sandro,3.0,,,
454,"Santiago, Jesus",2.0,,,
455,Saul,3.0,,,
456,Savic,3.0,,,
457,Savio,5.0,"Mojica, J",Osasuna,6.0
458,Sedlar,5.0,,,
459,"Silva, Andre",2.0,,,
460,"Silva, Rui",4.0,,,
461,Simeone,0.0,,,
462,"Simeone, Giuliano",1.0,,,
463,"Sinkgraven, Daley",1.0,,,
464,Sivera,5.0,,,
465,"Sobrino, Ruben",2.0,,,
466,Sokratis,5.0,,,
467,"Sola, Alex",3.0,,,
468,"Solis, Jhon",1.0,,,
469,Sorloth,3.0,,,
470,Sory,2.0,,,
471,"Sotelo, Hugo",1.0,,,
472,"Soumare, Boubakary",4.0,,,
473,"Sow, Djibril",3.0,,,
474,"Stamatakis, Dimitrios",0.0,,,
475,"Starfelt, Carl",5.0,,,
476,"Stegen, Ter",5.0,,,
477,"Strand-larsen, Jorgen",4.0,,,
478,Stuani,2.0,,,
479,"Suarez, Alex",4.0,,,
480,"Suarez, Denis",2.0,Jagoba arrasate,Osasuna,0.0
481,"Suarez, L",3.0,,,
482,Suso,3.0,,,
483,"Swedberg, Williot",1.0,,,
484,Tapia,3.0,,,
485,"Tchouameni, Aurelien",5.0,,,
486,"Tenaglia, Nahuel",2.0,,,
487,"Terrats, R",2.0,,,
488,"Tierney, Kieran",3.0,,,
489,"Torre, Pablo",2.0,,,
490,"Torrente, Raul",2.0,,,
491,"Torres, Ferran",2.0,,,
492,"Torres, Oliver",3.0,,,
493,"Torro, Lucas",3.0,,,
494,"Traore, Bertrand",1.0,,,
495,"Traore, Hamari",5.0,,,
496,"Trejo, Oscar",2.0,,,
497,Trigueros,1.0,,,
498,"Tsygankov, Viktor",4.0,,,
499,Turrientes,2.0,,,
500,Unai,5.0,,,
501,"Uzuni, Myrto",3.0,,,
502,"Valencia, Pablo",0.0,,,
503,Valery,2.0,,,
504,Valjent,4.0,,,
505,"Vallejo, Jesus",2.0,"Oroz, Aimar",Osasuna,7.0
506,"Valles, A",6.0,,,
507,Valverde,0.0,,,
508,"Valverde, Federico",6.0,,,
509,"Van-der-heyden, Siebe",1.0,,,
510,"Vazquez, J",2.0,,,
511,"Vazquez, Kevin",2.0,,,
512,"Vazquez, Lucas",2.0,,,
513,"Veliz, Alejo",1.0,,,
514,"Vermeeren, Arthur",1.0,,,
515,Vesga,3.0,,,
516,"Vicente, Carlos",4.0,,,
517,"Vidal, Nacho",1.0,,,
518,"Vieites, F",2.0,,,
519,"Viera, Jonathan",3.0,,,
520,Villalibre,1.0,,,
521,"Villar, G",3.0,,,
522,"Villar, Ivan",2.0,,,
523,Vinicius,4.0,,,
524,Vivian,5.0,,,
525,"Williams, Nico",5.0,,,
526,"Witsel, Axel",5.0,,,
527,Xavi,0.0,,,
528,"Yamal, Lamine",3.0,,,
529,"Yaremchuk, Roman",2.0,,,
530,Yeray,3.0,,,
531,Yeremi,3.0,,,
532,Yuri,5.0,,,
533,"Zakharyan, Arsen",2.0,,,
534,Zaldua,2.0,,,
535,"Zubeldia, Igor",5.0,,,
536,Zubimendi,5.0,,,
537,"de Frutos, Jorge",2.0,,,
549,,,"Ibanez, Pablo",Osasuna,2.0
562,,,"Valencia, Pablo",Osasuna,0.0
583,,,Herrando,Osasuna,6.0
604,,,"Munoz, Iker",Osasuna,0.0
624,,,Raul,Osasuna,2.0
649,,,"Fernandez, Aitor",Osasuna,0.0
671,,,"Pena, Ruben",Osasuna,4.0
694,,,"Moncayola, Jon",Osasuna,6.0
719,,,"Herrera, S",Osasuna,7.0
737,,,"Garcia, Unai",Osasuna,5.0
762,,,"Garcia, David",Osasuna,6.0
781,,,"Barja, Kike",Osasuna,0.0
805,,,"Garcia, Ruben",Osasuna,2.0
827,,,"Gomez, Moi",Osasuna,0.0
850,,,Juan,Osasuna,2.0
875,,,"Torro, Lucas",Osasuna,5.0
900,,,Budimir,Osasuna,5.0
921,,,Andrei,Rayo Vallecano,1.0
945,,,Cardenas,Rayo Vallecano,0.0
967,,,Alvaro,Rayo Vallecano,5.0
